week_ending,roi,yoy_7d,yoy_28d,status,yoy_anomaly_pct
2018-07-01,cobija,,,,
2018-07-08,cobija,,,,
2018-07-15,cobija,,,,
2018-07-22,cobija,,,,
2018-07-29,cobija,,,,
2018-08-05,cobija,,,,
2018-08-12,cobija,,,,
2018-08-19,cobija,,,,
2018-08-26,cobija,,,,
2018-09-02,cobija,,,,
2018-09-09,cobija,,,,
2018-09-16,cobija,,,,
2018-09-23,cobija,,,,
2018-09-30,cobija,,,,
2018-10-07,cobija,,,,
2018-10-14,cobija,,,,
2018-10-21,cobija,,,,
2018-10-28,cobija,,,,
2018-11-04,cobija,,,,
2018-11-11,cobija,,,,
2018-11-18,cobija,,,,
2018-11-25,cobija,,,,
2018-12-02,cobija,,,,
2018-12-09,cobija,,,,
2018-12-16,cobija,,,,
2018-12-23,cobija,,,,
2018-12-30,cobija,,,,
2019-01-06,cobija,,,,
2019-01-13,cobija,,,,
2019-01-20,cobija,,,,
2019-01-27,cobija,,,,
2019-02-03,cobija,,,,
2019-02-10,cobija,,,,
2019-02-17,cobija,,,,
2019-02-24,cobija,,,,
2019-03-03,cobija,,,,
2019-03-10,cobija,,,,
2019-03-17,cobija,,,,
2019-03-24,cobija,,,,
2019-03-31,cobija,,,,
2019-04-07,cobija,,,,
2019-04-14,cobija,,,,
2019-04-21,cobija,,,,
2019-04-28,cobija,,,,
2019-05-05,cobija,,,,
2019-05-12,cobija,,,,
2019-05-19,cobija,,,,
2019-05-26,cobija,,,,
2019-06-02,cobija,,,,
2019-06-09,cobija,,,,
2019-06-16,cobija,,,,
2019-06-23,cobija,,,,
2019-06-30,cobija,,,,
2019-07-07,cobija,-108.08606337546003,,,
2019-07-14,cobija,16.749454149371346,,,
2019-07-21,cobija,,,,
2019-07-28,cobija,-60.62584937731117,-40.468747710273156,red,-40.468747710273156
2019-08-04,cobija,,-1.4419115576856711,yellow,-1.4419115576856711
2019-08-11,cobija,,,,
2019-08-18,cobija,22.090574175085642,22.413058691195076,green,22.413058691195076
2019-08-25,cobija,-31.294035769812645,,,
2019-09-01,cobija,-36.46331642504226,-2.4623417684702886,yellow,-2.4623417684702886
2019-09-08,cobija,12.006152713915696,-5.814527413818382,red,-5.814527413818382
2019-09-15,cobija,-38.74713219943633,-19.23631987635588,red,-19.23631987635588
2019-09-22,cobija,45.75074757661621,-3.5471231373838563,yellow,-3.5471231373838563
2019-09-29,cobija,27.68826303164058,11.827872848313525,green,11.827872848313525
2019-10-06,cobija,,8.340180494239213,green,8.340180494239213
2019-10-13,cobija,71.30736564436262,29.028219645560682,green,29.028219645560682
2019-10-20,cobija,,25.25374082962415,green,25.25374082962415
2019-10-27,cobija,,,,
2019-11-03,cobija,53.568003609942494,,,
2019-11-10,cobija,,,,
2019-11-17,cobija,,,,
2019-11-24,cobija,39.778711322076354,,,
2019-12-01,cobija,,,,
2019-12-08,cobija,,,,
2019-12-15,cobija,,,,
2019-12-22,cobija,41.87116460471394,,,
2019-12-29,cobija,24.48933207058257,,,
2020-01-05,cobija,,,,
2020-01-12,cobija,,,,
2020-01-19,cobija,-15.433504406105136,,,
2020-01-26,cobija,-6.015109439461241,,,
2020-02-02,cobija,49.38511747290164,-0.39443572681552297,yellow,-0.39443572681552297
2020-02-09,cobija,-12.62312970233932,1.9626814355589772,yellow,1.9626814355589772
2020-02-16,cobija,,,,
2020-02-23,cobija,-8.064780693755935,,,
2020-03-01,cobija,,,,
2020-03-08,cobija,-14.479488013369135,,,
2020-03-15,cobija,,,,
2020-03-22,cobija,,,,
2020-03-29,cobija,,,,
2020-04-05,cobija,,,,
2020-04-12,cobija,-43.31966592516636,,,
2020-04-19,cobija,,,,
2020-04-26,cobija,,,,
2020-05-03,cobija,-49.36927942660283,,,
2020-05-10,cobija,-25.48281227974467,,,
2020-05-17,cobija,43.756038424801424,,,
2020-05-24,cobija,66.26662759803388,6.489980144089813,green,6.489980144089813
2020-05-31,cobija,,11.260168651031854,green,11.260168651031854
2020-06-07,cobija,,-7.835701528416017,red,-7.835701528416017
2020-06-14,cobija,-197.929933903705,-47.194286423992615,red,-47.194286423992615
2020-06-21,cobija,31.99613032168358,-49.611366187602,red,-49.611366187602
2020-06-28,cobija,41.281731762430596,-35.558947829078846,red,-35.558947829078846
2020-07-05,cobija,,-9.454032858057815,red,-9.454032858057815
2020-07-12,cobija,-19.64057221779445,13.984938159362947,green,13.984938159362947
2020-07-19,cobija,-5.235204218019085,5.8002350290081495,green,5.8002350290081495
2020-07-26,cobija,35.54812467406201,8.315990742408097,green,8.315990742408097
2020-08-02,cobija,-65.5722409635489,-22.31035702155264,red,-22.31035702155264
2020-08-09,cobija,-9.746864086512907,-13.279327271912678,red,-13.279327271912678
2020-08-16,cobija,-30.707856087386176,-25.718598452175456,red,-25.718598452175456
2020-08-23,cobija,-58.78904818447044,-37.03373419165814,red,-37.03373419165814
2020-08-30,cobija,31.581748667512777,-11.130889887617634,red,-11.130889887617634
2020-09-06,cobija,,-15.487962464708538,red,-15.487962464708538
2020-09-13,cobija,,,,
2020-09-20,cobija,,,,
2020-09-27,cobija,9.960426937596267,,,
2020-10-04,cobija,-11.720269983656983,,,
2020-10-11,cobija,-7.684241928644475,-9.545141631115683,red,-9.545141631115683
2020-10-18,cobija,,-18.030874458403012,red,-18.030874458403012
2020-10-25,cobija,,,,
2020-11-01,cobija,,,,
2020-11-08,cobija,,,,
2020-11-15,cobija,66.74642095205385,,,
2020-11-22,cobija,46.697378032896886,,,
2020-11-29,cobija,,,,
2020-12-06,cobija,,,,
2020-12-13,cobija,,,,
2020-12-20,cobija,17.3505668567266,,,
2020-12-27,cobija,-117.37957940752324,,,
2021-01-03,cobija,,,,
2021-01-10,cobija,0.8603168852401311,,,
2021-01-17,cobija,,,,
2021-01-24,cobija,,,,
2021-01-31,cobija,-50.79826618476613,-30.9529565360803,red,-30.9529565360803
2021-02-07,cobija,-36.37065922116829,,,
2021-02-14,cobija,,,,
2021-02-21,cobija,,,,
2021-02-28,cobija,28.41186184369313,,,
2021-03-07,cobija,6.6251592222091205,,,
2021-03-14,cobija,-4.9364101491116585,,,
2021-03-21,cobija,,,,
2021-03-28,cobija,,,,
2021-04-04,cobija,-57.356563943307215,,,
2021-04-11,cobija,,,,
2021-04-18,cobija,,,,
2021-04-25,cobija,48.84356688321585,,,
2021-05-02,cobija,,,,
2021-05-09,cobija,78.5543336373685,,,
2021-05-16,cobija,,,,
2021-05-23,cobija,,,,
2021-05-30,cobija,68.30772716929889,,,
2021-06-06,cobija,,,,
2021-06-13,cobija,198.71173733937616,,,
2021-06-20,cobija,,,,
2021-06-27,cobija,67.30969222881544,69.37902527492508,green,69.37902527492508
2021-07-04,cobija,,64.80751463369785,green,64.80751463369785
2021-07-11,cobija,65.15379442811806,47.44435487188294,green,47.44435487188294
2021-07-18,cobija,24.76134149917275,45.7465795364838,green,45.7465795364838
2021-07-25,cobija,66.62662357998511,45.07018618102858,green,45.07018618102858
2021-08-01,cobija,21.921927858159584,49.615319992217444,green,49.615319992217444
2021-08-08,cobija,28.59709146276188,37.76856183180861,green,37.76856183180861
2021-08-15,cobija,28.36175057356467,37.637747277505085,green,37.637747277505085
2021-08-22,cobija,88.23382019785981,41.59747490807124,green,41.59747490807124
2021-08-29,cobija,-18.38168905245503,24.27296587998935,green,24.27296587998935
2021-09-05,cobija,,16.21040409001484,green,16.21040409001484
2021-09-12,cobija,,,,
2021-09-19,cobija,,,,
2021-09-26,cobija,,,,
2021-10-03,cobija,17.89103655478481,,,
2021-10-10,cobija,-93.60729837192866,4.785304906003773,yellow,4.785304906003773
2021-10-17,cobija,,-19.02713386340391,red,-19.02713386340391
2021-10-24,cobija,53.80736883963948,8.282913423790284,green,8.282913423790284
2021-10-31,cobija,,,,
2021-11-07,cobija,,,,
2021-11-14,cobija,-27.18978218160899,,,
2021-11-21,cobija,10.179647400551595,,,
2021-11-28,cobija,,,,
2021-12-05,cobija,165.70157470785603,,,
2021-12-12,cobija,,,,
2021-12-19,cobija,,,,
2021-12-26,cobija,25.738838326771507,,,
2022-01-02,cobija,,24.924081330168057,green,24.924081330168057
2022-01-09,cobija,11.0141548075962,,,
2022-01-16,cobija,52.78024574809255,24.970964463382295,green,24.970964463382295
2022-01-23,cobija,-20.91202073877181,8.776226888379668,green,8.776226888379668
2022-01-30,cobija,,22.298303067941738,green,22.298303067941738
2022-02-06,cobija,5.495934794855728,25.5719033280684,green,25.5719033280684
2022-02-13,cobija,,,,
2022-02-20,cobija,,,,
2022-02-27,cobija,-16.025570461544625,,,
2022-03-06,cobija,,,,
2022-03-13,cobija,-30.848156699062912,,,
2022-03-20,cobija,45.262900816463514,,,
2022-03-27,cobija,,,,
2022-04-03,cobija,,,,
2022-04-10,cobija,-20.882234726638593,,,
2022-04-17,cobija,,,,
2022-04-24,cobija,24.18008664759217,,,
2022-05-01,cobija,,,,
2022-05-08,cobija,1.3716820086539627,,,
2022-05-15,cobija,,,,
2022-05-22,cobija,,,,
2022-05-29,cobija,,,,
2022-06-05,cobija,,,,
2022-06-12,cobija,-30.349716471100585,,,
2022-06-19,cobija,-6.555855983656755,,,
2022-06-26,cobija,-2.2025884803825946,,,
2022-07-03,cobija,9.938398009790994,-4.246323844740552,yellow,-4.246323844740552
2022-07-10,cobija,-71.78691974409102,-21.88100713651,red,-21.88100713651
2022-07-17,cobija,-72.4274626962913,-39.66041473307804,red,-39.66041473307804
2022-07-24,cobija,-162.1084126826082,-73.99541330950079,red,-73.99541330950079
2022-07-31,cobija,38.23560232041672,-70.12567070219973,red,-70.12567070219973
2022-08-07,cobija,,-75.2249163661439,red,-75.2249163661439
2022-08-14,cobija,11.394590399574867,-41.38542351986523,red,-41.38542351986523
2022-08-21,cobija,-62.478062471784135,-15.940308074961251,red,-15.940308074961251
2022-08-28,cobija,,,,
2022-09-04,cobija,44.67776504777525,18.746634959980746,green,18.746634959980746
2022-09-11,cobija,37.024923308246294,,,
2022-09-18,cobija,1.8661318281028016,39.93284835430142,green,39.93284835430142
2022-09-25,cobija,1.7431621521271978,23.91255724756789,green,23.91255724756789
2022-10-02,cobija,-12.087365418545737,7.237967846521087,green,7.237967846521087
2022-10-09,cobija,213.04568856305616,29.73603967858125,green,29.73603967858125
2022-10-16,cobija,,46.22092984435664,green,46.22092984435664
2022-10-23,cobija,,43.2233523257425,green,43.2233523257425
2022-10-30,cobija,,,,
2022-11-06,cobija,40.29921963019163,,,
2022-11-13,cobija,57.762195674140315,,,
2022-11-20,cobija,,,,
2022-11-27,cobija,-4.975634168071075,15.493126284232162,green,15.493126284232162
2022-12-04,cobija,76.94398223608997,23.917378134602174,green,23.917378134602174
2022-12-11,cobija,9.674595126104535,12.744714374723465,green,12.744714374723465
2022-12-18,cobija,,,,
2022-12-25,cobija,101.38769808549046,44.414685109378915,green,44.414685109378915
2023-01-01,cobija,,,,
2023-01-08,cobija,-18.470292245715036,,,
2023-01-15,cobija,,,,
2023-01-22,cobija,78.71933597422185,,,
2023-01-29,cobija,2.558917907035685,,,
2023-02-05,cobija,,,,
2023-02-12,cobija,36.27789791119298,,,
2023-02-19,cobija,,,,
2023-02-26,cobija,-10.5240467890793,,,
2023-03-05,cobija,54.123621118892906,,,
2023-03-12,cobija,,,,
2023-03-19,cobija,-28.865858397386113,,,
2023-03-26,cobija,,,,
2023-04-02,cobija,,,,
2023-04-09,cobija,60.308836767204,,,
2023-04-16,cobija,-33.085857685584585,,,
2023-04-23,cobija,,,,
2023-04-30,cobija,82.08164076134139,,,
2023-05-07,cobija,,,,
2023-05-14,cobija,,,,
2023-05-21,cobija,27.340459166958375,,,
2023-05-28,cobija,,,,
2023-06-04,cobija,,,,
2023-06-11,cobija,85.8758088465148,,,
2023-06-18,cobija,-13.220141798595897,,,
2023-06-25,cobija,19.97587559828986,25.206976876028797,green,25.206976876028797
2023-07-02,cobija,16.097889593743453,24.146599074792974,green,24.146599074792974
2023-07-09,cobija,20.165172218868044,11.415939437597977,green,11.415939437597977
2023-07-16,cobija,-3.200145533547527,13.176639233065224,green,13.176639233065224
2023-07-23,cobija,121.90667917606604,36.65345584881816,green,36.65345584881816
2023-07-30,cobija,40.398429372520006,44.650847200484556,green,44.650847200484556
2023-08-06,cobija,,61.599376510850234,green,61.599376510850234
2023-08-13,cobija,-88.01213737312565,16.76980592778783,green,16.76980592778783
2023-08-20,cobija,45.76959503006748,2.5717369604072005,yellow,2.5717369604072005
2023-08-27,cobija,-138.2063434497434,-47.07945386695922,red,-47.07945386695922
2023-09-03,cobija,-49.69568245288691,-52.50786809968666,red,-52.50786809968666
2023-09-10,cobija,-4.889029478915852,-33.772226373891634,red,-33.772226373891634
2023-09-17,cobija,,-42.13042625611898,red,-42.13042625611898
2023-09-24,cobija,14.071091114605316,-9.974544434020416,red,-9.974544434020416
2023-10-01,cobija,,14.720596075032333,green,14.720596075032333
2023-10-08,cobija,-43.4693061560079,,,
2023-10-15,cobija,,,,
2023-10-22,cobija,-19.83778406733041,-22.61238098576097,red,-22.61238098576097
2023-10-29,cobija,16.009068692952866,-34.35734350764914,red,-34.35734350764914
2023-11-05,cobija,-14.987833511561988,-6.99607996565117,red,-6.99607996565117
2023-11-12,cobija,-40.423464151607114,-19.667941044531112,red,-19.667941044531112
2023-11-19,cobija,1.6593551766666437,-14.873324058343762,red,-14.873324058343762
2023-11-26,cobija,-61.25110582938387,-25.81997508569156,red,-25.81997508569156
2023-12-03,cobija,,-23.582268852239885,red,-23.582268852239885
2023-12-10,cobija,,,,
2023-12-17,cobija,,,,
2023-12-24,cobija,-31.95182413656834,,,
2023-12-31,cobija,,,,
2024-01-07,cobija,,,,
2024-01-14,cobija,-14.022408903392503,,,
2024-01-21,cobija,,,,
