date,roi,no2_mean,month
2018-07-01,cobija,1.289453782199938e-05,2018-07
2018-08-01,cobija,2.095028740159824e-05,2018-08
2018-09-01,cobija,1.8727111529689684e-05,2018-09
2018-10-01,cobija,1.0370620353702854e-05,2018-10
2018-11-01,cobija,4.943125139812622e-06,2018-11
2018-12-01,cobija,4.767969649637272e-06,2018-12
2019-01-01,cobija,8.201630775850702e-06,2019-01
2019-02-01,cobija,7.416282907414992e-06,2019-02
2019-03-01,cobija,8.64432752137849e-06,2019-03
2019-04-01,cobija,6.542445525512807e-06,2019-04
2019-05-01,cobija,4.821778108983972e-06,2019-05
2019-06-01,cobija,7.121634818293545e-06,2019-06
2019-07-01,cobija,7.725051186898595e-06,2019-07
2019-08-01,cobija,2.1535368514094877e-05,2019-08
2019-09-01,cobija,2.318840814605635e-05,2019-09
2019-10-01,cobija,1.4504314101842128e-05,2019-10
2019-11-01,cobija,7.221724831078584e-06,2019-11
2019-12-01,cobija,6.946482672104701e-06,2019-12
2020-01-01,cobija,9.447488627754468e-06,2020-01
2020-02-01,cobija,5.258172859645787e-06,2020-02
2020-03-01,cobija,7.79739323004057e-06,2020-03
2020-04-01,cobija,6.463486041674062e-06,2020-04
2020-05-01,cobija,4.965272733226703e-06,2020-05
2020-06-01,cobija,4.513793386870526e-06,2020-06
2020-07-01,cobija,7.94655168947022e-06,2020-07
2020-08-01,cobija,1.6429605512350724e-05,2020-08
2020-09-01,cobija,2.289314777917479e-05,2020-09
2020-10-01,cobija,1.1118514231468457e-05,2020-10
2020-11-01,cobija,9.73705430503971e-06,2020-11
2020-12-01,cobija,5.283510373693544e-06,2020-12
2021-01-01,cobija,8.1632523775738e-06,2021-01
2021-02-01,cobija,7.195968096885317e-06,2021-02
2021-03-01,cobija,4.631292390029714e-06,2021-03
2021-04-01,cobija,8.201585202249625e-06,2021-04
2021-05-01,cobija,9.329091046724854e-06,2021-05
2021-06-01,cobija,8.375782507400994e-06,2021-06
2021-07-01,cobija,1.2936813691286551e-05,2021-07
2021-08-01,cobija,2.3380369938091665e-05,2021-08
2021-09-01,cobija,2.2743003629240045e-05,2021-09
2021-10-01,cobija,1.1760633655997987e-05,2021-10
2021-11-01,cobija,6.762802459483066e-06,2021-11
2021-12-01,cobija,5.636636305976033e-06,2021-12
2022-01-01,cobija,9.5519660888388e-06,2022-01
2022-02-01,cobija,6.069172198750257e-06,2022-02
2022-03-01,cobija,8.317853315704138e-06,2022-03
2022-04-01,cobija,5.886521774058554e-06,2022-04
2022-05-01,cobija,8.853406792040463e-06,2022-05
2022-06-01,cobija,8.699510754791508e-06,2022-06
2022-07-01,cobija,7.31830266349976e-06,2022-07
2022-08-01,cobija,2.5753010296927928e-05,2022-08
2022-09-01,cobija,2.496460919581339e-05,2022-09
2022-10-01,cobija,2.10655886382178e-05,2022-10
2022-11-01,cobija,1.2095804207413748e-05,2022-11
2022-12-01,cobija,1.1151045394493974e-05,2022-12
2023-01-01,cobija,1.0480804163099942e-05,2023-01
2023-02-01,cobija,7.391228847103419e-06,2023-02
2023-03-01,cobija,7.524693182708155e-06,2023-03
2023-04-01,cobija,6.582846468310006e-06,2023-04
2023-05-01,cobija,8.403678669089731e-06,2023-05
2023-06-01,cobija,1.0915588244695294e-05,2023-06
2023-07-01,cobija,1.236078338483546e-05,2023-07
2023-08-01,cobija,1.5607410376518288e-05,2023-08
2023-09-01,cobija,2.439004748515403e-05,2023-09
2023-10-01,cobija,1.3705749705137463e-05,2023-10
2023-11-01,cobija,1.0445439555328492e-05,2023-11
2023-12-01,cobija,8.097892313160502e-06,2023-12
2024-01-01,cobija,6.572467075035592e-06,2024-01
2024-02-01,cobija,7.768916514121941e-06,2024-02
2024-03-01,cobija,5.402369186817269e-06,2024-03
2024-04-01,cobija,3.953568619805482e-06,2024-04
2024-05-01,cobija,5.982032938335132e-06,2024-05
2024-06-01,cobija,5.005626571124456e-06,2024-06
2024-07-01,cobija,1.2396891849495772e-05,2024-07
2024-08-01,cobija,2.53298097202172e-05,2024-08
2024-09-01,cobija,2.858931265168271e-05,2024-09
2024-10-01,cobija,1.450292912942887e-05,2024-10
2024-11-01,cobija,1.0888962563149418e-05,2024-11
2024-12-01,cobija,8.8980858603952e-06,2024-12
2025-01-01,cobija,9.168718577918406e-06,2025-01
2025-02-01,cobija,6.594774282387612e-06,2025-02
2025-03-01,cobija,7.666207210814407e-06,2025-03
2025-04-01,cobija,5.952811976858828e-06,2025-04
2025-05-01,cobija,6.684316202130432e-06,2025-05
2025-06-01,cobija,8.042779867102972e-06,2025-06
2025-07-01,cobija,1.2363067538954706e-05,2025-07
2025-08-01,cobija,1.7683239661029178e-05,2025-08
2025-09-01,cobija,1.7951113236073768e-05,2025-09
2025-10-01,cobija,1.2153652899906782e-05,2025-10
2025-11-01,cobija,1.0593160546571282e-05,2025-11
2025-12-01,cobija,7.998481831761732e-06,2025-12
2026-01-01,cobija,8.031084024973706e-06,2026-01
2026-02-01,cobija,6.8194375418682986e-06,2026-02
2026-03-01,cobija,8.909046161886299e-06,2026-03
2026-04-01,cobija,4.538990464450219e-06,2026-04
2018-07-01,cochabamba,5.1699243018528845e-05,2018-07
2018-08-01,cochabamba,5.209026600085948e-05,2018-08
2018-09-01,cochabamba,4.717108557925864e-05,2018-09
2018-10-01,cochabamba,3.0316346031934317e-05,2018-10
2018-11-01,cochabamba,2.5022825262688385e-05,2018-11
2018-12-01,cochabamba,2.4697098696587416e-05,2018-12
2019-01-01,cochabamba,2.3048676661323616e-05,2019-01
2019-02-01,cochabamba,2.744641412465289e-05,2019-02
2019-03-01,cochabamba,2.5248852422369984e-05,2019-03
2019-04-01,cochabamba,2.9481994687303743e-05,2019-04
2019-05-01,cochabamba,4.783148934710399e-05,2019-05
2019-06-01,cochabamba,5.452997700392357e-05,2019-06
2019-07-01,cochabamba,5.48627354404404e-05,2019-07
2019-08-01,cochabamba,6.275307450811959e-05,2019-08
2019-09-01,cochabamba,5.037442255091469e-05,2019-09
2019-10-01,cochabamba,2.5538363058295855e-05,2019-10
2019-11-01,cochabamba,1.7417880590992817e-05,2019-11
2019-12-01,cochabamba,2.5264655567433666e-05,2019-12
2020-01-01,cochabamba,2.427506599957444e-05,2020-01
2020-02-01,cochabamba,2.667342666071053e-05,2020-02
2020-03-01,cochabamba,2.279069059750775e-05,2020-03
2020-04-01,cochabamba,1.1125307024242807e-05,2020-04
2020-05-01,cochabamba,1.5114832465517031e-05,2020-05
2020-06-01,cochabamba,2.8346448848479773e-05,2020-06
2020-07-01,cochabamba,2.968431751092476e-05,2020-07
2020-08-01,cochabamba,3.807502126017624e-05,2020-08
2020-09-01,cochabamba,4.752894618399159e-05,2020-09
2020-10-01,cochabamba,2.4703635674285878e-05,2020-10
2020-11-01,cochabamba,2.529826036442253e-05,2020-11
2020-12-01,cochabamba,2.0690659123109798e-05,2020-12
2021-01-01,cochabamba,2.0995074169733277e-05,2021-01
2021-02-01,cochabamba,2.2879233848080947e-05,2021-02
2021-03-01,cochabamba,2.170455031065176e-05,2021-03
2021-04-01,cochabamba,2.652999250927018e-05,2021-04
2021-05-01,cochabamba,3.1910876428494785e-05,2021-05
2021-06-01,cochabamba,3.421292236490519e-05,2021-06
2021-07-01,cochabamba,5.186399269317688e-05,2021-07
2021-08-01,cochabamba,4.744310780216983e-05,2021-08
2021-09-01,cochabamba,4.222839582284231e-05,2021-09
2021-10-01,cochabamba,2.6747525502836524e-05,2021-10
2021-11-01,cochabamba,2.2090733234143995e-05,2021-11
