week_ending,no2_national_28d,no2_national_7d,yoy_28d,yoy_7d,status,trailing_12m_log,trailing_12m_yoy
2018-07-08,,2.5707010724507203e-05,,,,,
2018-07-15,5.1221193560233776e-05,1.713830830489754e-05,,,,,
2018-07-22,1.9359894736519113e-05,1.3750980280362213e-05,,,,,
2018-07-29,1.850060814035916e-05,1.6849200609840406e-05,,,,,
2018-08-05,1.640239589383853e-05,1.9489284625922528e-05,,,,,
2018-08-12,1.83212903450941e-05,2.4174911573947704e-05,,,,,
2018-08-19,2.1386753819976236e-05,2.4811016865931354e-05,,,,,
2018-08-26,2.5090884139180443e-05,2.8479622127023234e-05,,,,,
2018-09-02,2.648144136545895e-05,2.8732714074951288e-05,,,,,
2018-09-09,2.901590163286575e-05,3.3587405431678134e-05,,,,,
2018-09-16,3.0947480808282206e-05,3.4157017223431054e-05,,,,,
2018-09-23,3.0018537624224666e-05,2.456050162187236e-05,,,,,
2018-09-30,2.888266459770909e-05,2.428795350210989e-05,,,,,
2018-10-07,2.498938316072124e-05,1.6954654044986218e-05,,,,,
2018-10-14,2.1021004752508382e-05,1.6105362720759464e-05,,,,,
2018-10-21,1.8696628964274365e-05,1.5849298055325467e-05,,,,,
2018-10-28,1.6517018858963966e-05,1.8356923691852584e-05,,,,,
2018-11-04,1.4736351304155282e-05,1.370052399815395e-05,,,,,
2018-11-11,1.5030043484974329e-05,1.3909686721368737e-05,,,,,
2018-11-18,1.3820625039344173e-05,1.0931445738461477e-05,,,,,
2018-11-25,1.3176209522755993e-05,1.4773631696689112e-05,,,,,
2018-12-02,1.3514520486187319e-05,1.4636085790788178e-05,,,,,
2018-12-09,1.3737732637460918e-05,1.4085365386165558e-05,,,,,
2018-12-16,1.3545443735253123e-05,1.0050523524380953e-05,,,,,
2018-12-23,1.2230858655650757e-05,3.821059274455794e-06,,,,,
2018-12-30,1.1327599094815916e-05,8.679253011250922e-06,,,,,
2019-01-06,8.420410047523026e-06,9.248577118356229e-06,,,,-10.886932105036102,
2019-01-13,9.145465124901342e-06,8.653904163006393e-06,,,,-10.913425449897701,
2019-01-20,1.1552762566818216e-05,1.341510863915671e-05,,,,-10.929681182627137,
2019-01-27,1.1670782825807902e-05,1.3759579792110223e-05,,,,-10.944465349906423,
2019-02-03,1.290904653952556e-05,1.813052039170909e-05,,,,-10.954902578584418,
2019-02-10,1.0789615142755245e-05,9.375439708434913e-06,,,,-10.970451735639317,
2019-02-17,1.0743868410061899e-05,1.207194694940074e-05,,,,-10.985161848481177,
2019-02-24,1.169277821232061e-05,1.196319777788399e-05,,,,-10.996415706210414,
2019-03-03,1.0882810849726406e-05,9.284941770021459e-06,,,,-11.009118950137886,
2019-03-10,1.1890796053674803e-05,1.1257508215299587e-05,,,,-11.01856543436178,
2019-03-17,1.1063227317675285e-05,9.540161126503133e-06,,,,-11.02949094461731,
2019-03-24,1.0477571249205896e-05,9.885033309412428e-06,,,,-11.041295882788727,
2019-03-31,1.0252558063013887e-05,9.18296839734553e-06,,,,-11.053050815252004,
2019-04-07,1.0036682832006158e-05,1.0787856853754494e-05,,,,-11.064748586489433,
2019-04-14,1.1136422373434787e-05,1.2676342856540532e-05,,,,-11.07326210998826,
2019-04-21,1.0967539288024682e-05,9.924728939013351e-06,,,,-11.081733049298059,
2019-04-28,1.1494831982962872e-05,1.3033100054484214e-05,,,,-11.088682572324013,
2019-05-05,1.183069631132805e-05,1.2545321014251843e-05,,,,-11.094639094407526,
2019-05-12,1.14559913112739e-05,1.1726339698182726e-05,,,,-11.10105633558439,
2019-05-19,1.3596933742722377e-05,1.789545541932223e-05,,,,-11.103381000365541,
2019-05-26,1.389792621850163e-05,1.3512951111410372e-05,,,,-11.105128607354802,
2019-06-02,1.4483734847875316e-05,1.7874128048266165e-05,,,,-11.105923408746875,
2019-06-09,1.7133207082869322e-05,2.2554903307202602e-05,,,,-11.103185255291784,
2019-06-16,1.758181749613979e-05,1.9547079395881333e-05,,,,-11.100031378382619,
2019-06-23,1.9000779927191523e-05,1.859472197912774e-05,,,,-11.095451361431783,
2019-06-30,1.9492475135923253e-05,1.7084360344565636e-05,,,,-11.090550002527923,
2019-07-07,1.9116582948199015e-05,2.1102894930554598e-05,,-19.735351396626477,,-11.086211625217981,
2019-07-14,2.028975575347993e-05,2.4509640355909766e-05,-92.60372671335571,35.775031443635896,red,-11.10402003420132,
2019-07-21,1.9921761366828627e-05,1.6432882832340558e-05,2.8609025606623817,17.817426346265464,yellow,-11.103469860631963,
2019-07-28,2.0675413299941635e-05,1.9947288575417757e-05,11.114162703777097,16.87900089720209,green,-11.101332521650466,
2019-08-04,2.1526778055385667e-05,2.4517413559125336e-05,27.187023585375236,22.951881442470068,green,-11.096104247884048,
2019-08-11,2.1874486679782518e-05,2.5632372046367894e-05,17.725717545143738,5.854070211330686,green,-11.092695456048443,
2019-08-18,2.6253763298902438e-05,3.2747359736318916e-05,20.50375925243184,27.75345570973844,green,-11.088752425422976,
2019-08-25,2.8113673305980635e-05,2.881333179170972e-05,11.37514540445288,1.1649371022816268,green,-11.08656489746058,
2019-09-01,2.8432452130280286e-05,2.6179983429150625e-05,7.108701163046938,-9.304120933023086,green,-11.085197839544609,
2019-09-08,2.8598412965914858e-05,2.3608672271877335e-05,-1.4492786291244286,-35.253704467813485,yellow,-11.085476546973288,
2019-09-15,2.6747913205158408e-05,2.6589924775885337e-05,-14.583514100885075,-25.043567107955234,red,-11.088281068915764,
2019-09-22,2.6081570219413052e-05,2.7442649873636143e-05,-14.058616858957507,11.095884052034855,red,-11.090984649080951,
2019-09-29,2.7158944350189203e-05,3.0062479706365777e-05,-6.153514011036876,21.329738604506332,red,-11.092168017159993,
2019-10-06,2.7175745434872656e-05,1.8514770967987096e-05,8.387380243943987,8.802647314695022,green,-11.090555059420776,
2019-10-13,2.4190734920013457e-05,1.7050519859546566e-05,14.044754116991065,5.702838878591976,green,-11.087854145167508,
2019-10-20,2.1191743170779874e-05,1.4929596257800445e-05,12.526839441727056,-5.977964377114375,green,-11.085445137582562,
2019-10-27,1.745006853923252e-05,1.7214587771104318e-05,5.49522810610128,-6.424966565287882,green,-11.084388362946772,
2019-11-03,1.5046875251849993e-05,1.1024669597634635e-05,2.0853026088833104,-21.72986277277431,yellow,-11.083987343214293,
2019-11-10,1.318127436767417e-05,7.24836393783972e-06,-13.12538830674601,-65.18097041990157,red,-11.086511456350207,
2019-11-17,1.2281307667958593e-05,1.1041193092174474e-05,-11.808363980792791,0.9989539008603998,red,-11.088782295577282,
2019-11-24,1.051890327735115e-05,1.1772250540863262e-05,-22.523894392474908,-22.709883671970132,red,-11.093113813729682,
2019-12-01,1.0482581414611025e-05,8.624500661833732e-06,-25.404973223002436,-52.88830418064947,red,-11.097999385503337,
2019-12-08,1.0112336409180153e-05,9.819894492618757e-06,-30.63901489053702,-36.072596432551585,red,-11.103891503751516,
