date,no2,n_rois,log_no2,centered_12m,log_dev_2019,centered_yoy,trailing_12m,trailing_12m_dev,trailing_yoy
2018-07-01,2.0791797004429726e-05,11,-10.780952023830222,,,,,,
2018-08-01,3.0153138253254982e-05,11,-10.409221552206036,,,,,,
2018-09-01,3.0453313497968048e-05,11,-10.399315752061321,,,,,,
2018-10-01,1.8201559610752388e-05,11,-10.914003274654469,,,,,,
2018-11-01,1.5421758400444628e-05,11,-11.079731162579172,,,,,,
2018-12-01,1.2411690245611898e-05,11,-11.296871767731128,,,,,,
2019-01-01,1.3727677683133864e-05,11,-11.196096494286996,-10.990777403125653,3.426439240871204,,,,
2019-02-01,1.1686964106348334e-05,11,-11.35703651626394,-10.981191143788957,4.38506517454087,,,,
2019-03-01,1.158627912438662e-05,11,-11.365688994056939,-10.98120456352053,4.38372320138356,,,,
2019-04-01,1.2761551168440138e-05,11,-11.269073722511271,-10.984768602361713,4.02731931726521,,,,
2019-05-01,1.6722978561543334e-05,11,-10.998726822540437,-10.987687851829108,3.7353943705257464,,,,
2019-06-01,1.994343074567664e-05,11,-10.822610754785913,-11.011778165687995,1.3263629846370861,,-10.990777403125653,3.426439240871204,
2019-07-01,2.332658380823075e-05,11,-10.665916911789859,-11.025041795534364,1.7763568394002505e-13,,-10.981191143788957,4.38506517454087,
2019-08-01,3.0148282879955056e-05,11,-10.409382588984911,-11.022332501694883,0.270929383948193,,-10.98120456352053,4.38372320138356,
2019-09-01,2.9178330855858072e-05,11,-10.442084218155538,-11.014523457417917,1.0518338116447978,,-10.984768602361713,4.02731931726521,
2019-10-01,1.7574979823988287e-05,11,-10.949034268263182,-11.014170557725352,1.0871237809013223,,-10.987687851829108,3.7353943705257464,
2019-11-01,1.1550117719477629e-05,11,-11.368814928885847,-11.058478746851199,-3.343695131683333,,-11.011778165687995,1.3263629846370861,
2019-12-01,1.05853951188551e-05,11,-11.45603532588753,-11.109309614250215,-8.426781871584943,,-11.025041795534364,1.7763568394002505e-13,
2020-01-01,1.4181319774829119e-05,11,-11.163584968213238,-11.145096238543738,-12.005444300937285,-15.431883541808489,-11.022332501694883,0.270929383948193,
2020-02-01,1.2835086748218018e-05,11,-11.263327984940362,-11.160840217503113,-13.579842196874736,-17.964907371415606,-11.014523457417917,1.0518338116447978,
2020-03-01,1.1635448694553812e-05,11,-11.361454197746138,-11.18576417426482,-16.07223787304548,-20.45596107442904,-11.014170557725352,1.0871237809013223,
2020-04-01,7.498766691918743e-06,11,-11.800771992021426,-11.187346345513832,-16.23045499794671,-20.25777431521192,-11.058478746851199,-3.343695131683333,
2020-05-01,9.086713817823554e-06,11,-11.608697231328646,-11.193745126854289,-16.870333131992332,-20.60572750251808,-11.109309614250215,-8.426781871584943,
2020-06-01,1.2980656809551491e-05,11,-11.25205024630819,-11.171883039404529,-14.68412438701634,-16.010487371653426,-11.145096238543738,-12.005444300937285,-15.431883541808489
2020-07-01,1.9310826528586045e-05,11,-10.854844659302332,-11.151964336009613,-12.69225404752472,-12.692254047524898,-11.160840217503113,-13.579842196874736,-17.964907371415606
2020-08-01,2.2354787140121837e-05,11,-10.708470070125415,-11.17370899753807,-14.866720200370409,-15.137649584318602,-11.18576417426482,-16.07223787304548,-20.45596107442904
2020-09-01,2.862957529744378e-05,11,-10.461070273143678,-11.17912454762356,-15.40827520891952,-16.460109020564317,-11.187346345513832,-16.23045499794671,-20.25777431521192
2020-10-01,1.6275988337862427e-05,11,-11.025819644348655,-11.185968751556038,-16.09269560216724,-17.179819383068562,-11.193745126854289,-16.870333131992332,-20.60572750251808
2020-11-01,1.5014864520870177e-05,11,-11.106469879488756,-11.134305755819325,-10.926396028495944,-7.582700896812611,-11.171883039404529,-14.68412438701634,-16.010487371653426
2020-12-01,1.3443553168564472e-05,11,-11.217010885148518,-11.08949547518665,-6.445367965228499,1.981413906356444,-11.151964336009613,-12.69225404752472,-12.692254047524898
2021-01-01,1.0924299843861636e-05,11,-11.424520906554699,-11.070431908248034,-4.539011271366888,7.466433029570396,-11.17370899753807,-14.866720200370409,-15.137649584318602
2021-02-01,1.2027503336507357e-05,11,-11.328314585966284,-11.056431264899373,-3.1389469365008082,10.440895260373928,-11.17912454762356,-15.40827520891952,-16.460109020564317
2021-03-01,1.071801438309169e-05,11,-11.443584644935836,-11.037890212866557,-1.2848417332191886,14.787396139826292,-11.185968751556038,-16.09269560216724,-17.179819383068562
2021-04-01,1.3939053637871852e-05,11,-11.180816043180894,-11.046043670406247,-2.1001874871881654,14.130267510758543,-11.134305755819325,-10.926396028495944,-7.582700896812611
2021-05-01,1.5557404426938282e-05,11,-11.070973863736546,-11.030477995609226,-0.543620007486112,16.32671312450622,-11.08949547518665,-6.445367965228499,1.981413906356444
2021-06-01,1.6317254641997433e-05,11,-11.023287443044806,-11.028865137596313,-0.38233420619473435,14.301790180821605,-11.070431908248034,-4.539011271366888,7.466433029570396
2021-07-01,2.2843660039109653e-05,11,-10.686836939118407,-11.027643946084586,-0.26021505502207276,12.432038992502648,-11.056431264899373,-3.1389469365008082,10.440895260373928
