date,no2,roll_28d,log_28d,log_28d_lag52w,yoy_28d
2018-07-15,1.572816384414182e-05,2.3057027668462112e-05,-10.677539946987824,,
2018-07-22,6.796167440127525e-06,2.0840294396173648e-05,-10.778622214683029,,
2018-07-29,1.601960218311004e-05,1.9879401994150313e-05,-10.825826437965429,,
2018-08-05,2.0673519643684802e-05,1.9340788693894666e-05,-10.853294288321056,,
2018-08-12,2.802562276362773e-05,1.8462996024068057e-05,-10.899742043896623,,
2018-08-19,2.254588446947541e-05,2.0829748060783124e-05,-10.779128397782152,,
2018-08-26,2.3120548914930357e-05,2.29508737399744e-05,-10.68215455072384,,
2018-09-02,1.351346581194075e-05,2.5582534668996238e-05,-10.573600678802357,,
2018-09-09,3.0367229749773313e-05,2.828699132688249e-05,-10.4731085294241,,
2018-09-16,1.727851236511099e-05,2.953039011638027e-05,-10.43009065144639,,
2018-09-23,2.7278096048781666e-05,2.891596397454881e-05,-10.451116728692652,,
2018-09-30,2.103890620831455e-05,2.8340996970150952e-05,-10.471201145416094,,
2018-10-07,1.392728036447135e-05,2.344153962448727e-05,-10.661000911774002,,
2018-10-14,2.1436723268945267e-05,1.9579701701114118e-05,-10.841017155854667,,
2018-10-21,1.4684195511222912e-05,1.852067961431831e-05,-10.89662263318204,,
2018-10-28,1.552043681868281e-05,1.637482766072501e-05,-11.01976530103422,,
2018-11-04,1.0268651067101106e-05,1.5663222667460305e-05,-11.064195098825,,
2018-11-11,8.864189563762979e-06,1.4429885735219104e-05,-11.146209103767081,,
2018-11-18,1.4161971745582281e-05,1.2820785245519452e-05,-11.264442856746971,,
2018-11-25,7.88570340562229e-06,1.233130153257679e-05,-11.303369688161265,,
2018-12-02,9.4776674898712e-06,1.2472746397329973e-05,-11.291964582158407,,
2018-12-09,1.4819844298876877e-05,1.260260422062111e-05,-11.281607081186795,,
2018-12-16,6.003711714696924e-06,1.2626288388485485e-05,-11.279729537436548,,
2018-12-23,6.5678576633036085e-06,9.863977897702346e-06,-11.526621032808071,,
2018-12-30,9.060953728675283e-06,9.03556557261978e-06,-11.61434203791359,,
2019-01-06,8.446785094560054e-06,8.417309983659453e-06,-11.685220260129809,,
2019-01-13,7.238117284678101e-06,7.780338996048756e-06,-11.763910647966329,,
2019-01-20,1.214125585394879e-05,9.93643325727883e-06,-11.519302428925219,,
2019-01-27,1.3776043477933606e-05,1.1066339398237591e-05,-11.411602543595626,,
2019-02-03,8.738059961684831e-06,1.2070703160658036e-05,-11.324729267662054,,
2019-02-10,9.032563467888116e-06,1.216134632676795e-05,-11.317247969893163,,
2019-02-17,1.0264298740389834e-05,1.2042049580115883e-05,-11.3271059016646,,
2019-02-24,1.5273036249517498e-05,1.1684118286065208e-05,-11.357280049725457,,
2019-03-03,1.2581786143233917e-05,1.0533270871329212e-05,-11.4609716559942,,
2019-03-10,1.8478595823916204e-05,1.112110131323876e-05,-11.406666235085552,,
2019-03-17,7.2499124185566215e-06,1.0724049276002948e-05,-11.443021742673578,,
2019-03-24,5.138499144344112e-06,1.0300468586695468e-05,-11.48332116990957,,
2019-03-31,8.878264371043429e-06,1.0086405344241384e-05,-11.504322046316835,,
2019-04-07,9.573630759977562e-06,1.0145077826600989e-05,-11.498521913291476,,
2019-04-14,8.63608975015045e-06,1.0605556715072856e-05,-11.45413247579762,,
2019-04-21,7.999121899852208e-06,1.050436735359591e-05,-11.463719448841504,,
2019-04-28,1.4313252740529599e-05,1.0981591708732259e-05,-11.419290168023792,,
2019-05-05,5.329960313158192e-06,1.1319597943543144e-05,-11.38897500317484,,
2019-05-12,2.009063521593476e-05,1.1326919924842903e-05,-11.388328371176273,,
2019-05-19,1.7179628443529796e-05,1.3165760214161802e-05,-11.237891021589238,,
2019-05-26,1.3269588118248191e-05,1.3924856527995693e-05,-11.181835075400006,,
2019-06-02,1.3219262804380288e-05,1.5307921484882185e-05,-11.087140119439175,,
2019-06-09,1.3215593254798185e-05,1.7802341908068277e-05,-10.936180541451524,,
2019-06-16,5.546501261277241e-06,1.7448368710533554e-05,-10.956264397322752,,
2019-06-23,1.8598100678179796e-05,1.9190520688799248e-05,-10.861094114972525,,
2019-06-30,1.870778712232535e-05,1.9414045453780585e-05,-10.84951376138819,,
2019-07-07,1.5734150370043774e-05,1.990427305039622e-05,-10.824576123133625,,
2019-07-14,1.646896127649445e-05,2.2031403566091077e-05,-10.72304168760026,,
2019-07-21,7.811515208265665e-06,2.1039546346982297e-05,-10.769106731782431,,
2019-07-28,1.955474663734096e-05,2.0791328058957398e-05,-10.780974578434844,-10.715160088919317,-6.5814489515526375
2019-08-04,1.986961074328598e-05,2.0519564543758344e-05,-10.794131758951284,-10.793196307520667,-0.09354514306174622
2019-08-11,2.069187670786408e-05,2.0463919726079645e-05,-10.7968472358251,-10.816197799607195,1.9350563782095875
2019-08-18,3.320122327052095e-05,2.424540923636498e-05,-10.62728326834277,-10.954876226909407,32.759295856663684
