roi,name,dept,altitude,date,no2_mol_m2,n_valid_pixels
cobija,Cobija,Pando,lowland,2026-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-01,,0
montero,Montero,Santa Cruz,lowland,2026-01-01,,0
oruro,Oruro,Oruro,highland,2026-01-01,,0
potosi,Potosí,Potosí,highland,2026-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-01,,0
sucre,Sucre,Chuquisaca,highland,2026-01-01,,0
tarija,Tarija,Tarija,lowland,2026-01-01,,0
trinidad,Trinidad,Beni,lowland,2026-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-01,,0
cobija,Cobija,Pando,lowland,2026-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-02,,0
montero,Montero,Santa Cruz,lowland,2026-01-02,,0
oruro,Oruro,Oruro,highland,2026-01-02,,0
potosi,Potosí,Potosí,highland,2026-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-02,,0
sucre,Sucre,Chuquisaca,highland,2026-01-02,,0
tarija,Tarija,Tarija,lowland,2026-01-02,,0
trinidad,Trinidad,Beni,lowland,2026-01-02,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-02,,0
cobija,Cobija,Pando,lowland,2026-01-03,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-03,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-03,,0
montero,Montero,Santa Cruz,lowland,2026-01-03,,0
oruro,Oruro,Oruro,highland,2026-01-03,,0
potosi,Potosí,Potosí,highland,2026-01-03,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-03,,0
sucre,Sucre,Chuquisaca,highland,2026-01-03,,0
tarija,Tarija,Tarija,lowland,2026-01-03,,0
trinidad,Trinidad,Beni,lowland,2026-01-03,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-03,,0
cobija,Cobija,Pando,lowland,2026-01-04,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-04,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-04,,0
montero,Montero,Santa Cruz,lowland,2026-01-04,,0
oruro,Oruro,Oruro,highland,2026-01-04,,0
potosi,Potosí,Potosí,highland,2026-01-04,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-04,,0
sucre,Sucre,Chuquisaca,highland,2026-01-04,,0
tarija,Tarija,Tarija,lowland,2026-01-04,,0
trinidad,Trinidad,Beni,lowland,2026-01-04,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-04,,0
cobija,Cobija,Pando,lowland,2026-01-05,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-05,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-05,,0
montero,Montero,Santa Cruz,lowland,2026-01-05,,0
oruro,Oruro,Oruro,highland,2026-01-05,,0
potosi,Potosí,Potosí,highland,2026-01-05,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-05,,0
sucre,Sucre,Chuquisaca,highland,2026-01-05,,0
tarija,Tarija,Tarija,lowland,2026-01-05,,0
trinidad,Trinidad,Beni,lowland,2026-01-05,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-05,,0
cobija,Cobija,Pando,lowland,2026-01-06,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-06,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-06,,0
montero,Montero,Santa Cruz,lowland,2026-01-06,,0
oruro,Oruro,Oruro,highland,2026-01-06,,0
potosi,Potosí,Potosí,highland,2026-01-06,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-06,,0
sucre,Sucre,Chuquisaca,highland,2026-01-06,,0
tarija,Tarija,Tarija,lowland,2026-01-06,,0
trinidad,Trinidad,Beni,lowland,2026-01-06,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-06,,0
cobija,Cobija,Pando,lowland,2026-01-07,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-07,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-07,,0
montero,Montero,Santa Cruz,lowland,2026-01-07,,0
oruro,Oruro,Oruro,highland,2026-01-07,,0
potosi,Potosí,Potosí,highland,2026-01-07,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-07,,0
sucre,Sucre,Chuquisaca,highland,2026-01-07,,0
tarija,Tarija,Tarija,lowland,2026-01-07,,0
trinidad,Trinidad,Beni,lowland,2026-01-07,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-07,,0
cobija,Cobija,Pando,lowland,2026-01-08,,0
cochabamba,Cochabamba,Cochabamba,highland,2026-01-08,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2026-01-08,,0
montero,Montero,Santa Cruz,lowland,2026-01-08,,0
oruro,Oruro,Oruro,highland,2026-01-08,,0
potosi,Potosí,Potosí,highland,2026-01-08,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2026-01-08,,0
sucre,Sucre,Chuquisaca,highland,2026-01-08,,0
tarija,Tarija,Tarija,lowland,2026-01-08,,0
trinidad,Trinidad,Beni,lowland,2026-01-08,,0
yacuiba,Yacuiba,Tarija,lowland,2026-01-08,,0
