date,roi,no2_28d,yoy_28d
2018-07-15,la_paz_el_alto,2.650526268499339e-05,
2018-07-22,la_paz_el_alto,2.1707953353830078e-05,
2018-07-29,la_paz_el_alto,1.9321059315083065e-05,
2018-08-05,la_paz_el_alto,1.9189151571005518e-05,
2018-08-12,la_paz_el_alto,1.6428575238426506e-05,
2018-08-19,la_paz_el_alto,1.6430651651392715e-05,
2018-08-26,la_paz_el_alto,1.9412683270466207e-05,
2018-09-02,la_paz_el_alto,2.1364144453665027e-05,
2018-09-09,la_paz_el_alto,2.484633990509254e-05,
2018-09-16,la_paz_el_alto,2.6038945488817027e-05,
2018-09-23,la_paz_el_alto,2.4154530554285163e-05,
2018-09-30,la_paz_el_alto,2.2951722804602386e-05,
2018-10-07,la_paz_el_alto,1.8927982518006885e-05,
2018-10-14,la_paz_el_alto,1.5467400618667685e-05,
2018-10-21,la_paz_el_alto,1.4470549760448376e-05,
2018-10-28,la_paz_el_alto,1.3089010029444216e-05,
2018-11-04,la_paz_el_alto,1.303099367335864e-05,
2018-11-11,la_paz_el_alto,1.1863336999255099e-05,
2018-11-18,la_paz_el_alto,1.0715437942914218e-05,
2018-11-25,la_paz_el_alto,1.1336164266880483e-05,
2018-12-02,la_paz_el_alto,1.1821226983426012e-05,
2018-12-09,la_paz_el_alto,1.121496643848142e-05,
2018-12-16,la_paz_el_alto,1.075444846690239e-05,
2018-12-30,la_paz_el_alto,1.0484934243367841e-05,
2019-01-06,la_paz_el_alto,1.0137321621340416e-05,
2019-01-13,la_paz_el_alto,1.0364565325733123e-05,
2019-01-20,la_paz_el_alto,9.689222768956263e-06,
2019-01-27,la_paz_el_alto,9.538453318026253e-06,
2019-02-03,la_paz_el_alto,8.703154384350137e-06,
2019-02-10,la_paz_el_alto,7.889650690079504e-06,
2019-02-17,la_paz_el_alto,8.561689621033996e-06,
2019-02-24,la_paz_el_alto,9.098801655576131e-06,
2019-03-03,la_paz_el_alto,8.826288233953796e-06,
2019-03-10,la_paz_el_alto,8.652698543701947e-06,
2019-03-17,la_paz_el_alto,8.44631247906277e-06,
2019-03-24,la_paz_el_alto,9.160706225662144e-06,
2019-03-31,la_paz_el_alto,8.126149208055433e-06,
2019-04-07,la_paz_el_alto,7.946306126025464e-06,
2019-04-14,la_paz_el_alto,8.80903448544426e-06,
2019-04-21,la_paz_el_alto,8.407887176666022e-06,
2019-04-28,la_paz_el_alto,9.656043572268737e-06,
2019-05-05,la_paz_el_alto,1.0788359171353206e-05,
2019-05-12,la_paz_el_alto,1.056430290137391e-05,
2019-05-19,la_paz_el_alto,1.4068482601073843e-05,
2019-05-26,la_paz_el_alto,1.4125450478950713e-05,
2019-06-02,la_paz_el_alto,1.4720701218549986e-05,
2019-06-09,la_paz_el_alto,1.8828056488351143e-05,
2019-06-16,la_paz_el_alto,1.8773830738448865e-05,
2019-06-23,la_paz_el_alto,2.097862822008436e-05,
2019-06-30,la_paz_el_alto,2.157555082365106e-05,
2019-07-07,la_paz_el_alto,2.0951743591326588e-05,
2019-07-14,la_paz_el_alto,2.403378227483263e-05,
2019-07-21,la_paz_el_alto,2.1540081431080365e-05,
2019-07-28,la_paz_el_alto,2.340033859172263e-05,
2019-08-04,la_paz_el_alto,2.401050394690302e-05,
2019-08-11,la_paz_el_alto,2.2606842405129692e-05,
2019-08-18,la_paz_el_alto,2.7290962500195347e-05,
2019-08-25,la_paz_el_alto,2.9675099757571303e-05,
2019-09-01,la_paz_el_alto,2.7928721304820896e-05,
2019-09-08,la_paz_el_alto,2.652197042389859e-05,
2019-09-15,la_paz_el_alto,2.5103936583292756e-05,
2019-09-22,la_paz_el_alto,2.2059737676978804e-05,
2019-09-29,la_paz_el_alto,2.0547363549687247e-05,
2019-10-06,la_paz_el_alto,1.8910267513697582e-05,
2019-10-13,la_paz_el_alto,1.8032616897133612e-05,
2019-10-20,la_paz_el_alto,1.5221718125125682e-05,-44.818872160880474
2019-10-27,la_paz_el_alto,1.4024082947378226e-05,-36.98814308970029
2019-11-03,la_paz_el_alto,1.0266969496783414e-05,-53.406278913075234
2019-11-10,la_paz_el_alto,8.647034982278381e-06,-64.18057256448915
2019-11-17,la_paz_el_alto,8.397695471178039e-06,-58.10937169554862
2019-11-24,la_paz_el_alto,6.238245712687465e-06,-111.54294446972912
2019-12-01,la_paz_el_alto,5.245828109882882e-06,-141.63206726985004
2019-12-08,la_paz_el_alto,5.142586385190758e-06,-142.80850347363804
2019-12-15,la_paz_el_alto,5.782249809136246e-06,-140.8073225869309
2019-12-22,la_paz_el_alto,5.882261376964092e-06,-145.8779532222758
2019-12-29,la_paz_el_alto,5.338759143506524e-06,-157.12118508951215
2020-01-05,la_paz_el_alto,5.509369797473604e-06,-154.9023447347544
2020-01-12,la_paz_el_alto,7.220076195088034e-06,-123.33749475224813
2020-01-19,la_paz_el_alto,7.042226630871881e-06,-115.17365570490182
2020-01-26,la_paz_el_alto,7.508663772743677e-06,-105.07684124768221
2020-02-02,la_paz_el_alto,8.2091110223903e-06,-88.05735924679752
2020-02-09,la_paz_el_alto,9.66792987277926e-06,-59.36102473207221
2020-02-16,la_paz_el_alto,9.911661813742605e-06,-41.831005299972546
