week_ending,roi,name,dept,altitude,no2_weekly_mean,n_valid_days,log_no2
2018-07-01,cobija,Cobija,Pando,lowland,,0.0,
2018-07-08,cobija,Cobija,Pando,lowland,1.3647920766294141e-05,4.0,-11.201923372749524
2018-07-15,cobija,Cobija,Pando,lowland,1.0763492681938332e-05,5.0,-11.43935045720824
2018-07-22,cobija,Cobija,Pando,lowland,9.57080557684076e-06,3.0,-11.556793178733788
2018-07-29,cobija,Cobija,Pando,lowland,1.4035400823822445e-05,7.0,-11.173927789682383
2018-08-05,cobija,Cobija,Pando,lowland,,1.0,
2018-08-12,cobija,Cobija,Pando,lowland,7.681680060863727e-06,3.0,-11.776672276803755
2018-08-19,cobija,Cobija,Pando,lowland,2.0719151448598768e-05,5.0,-10.784452094664555
2018-08-26,cobija,Cobija,Pando,lowland,3.159744847683139e-05,3.0,-10.362434185035482
2018-09-02,cobija,Cobija,Pando,lowland,2.2110732794367e-05,4.0,-10.719447420524872
2018-09-09,cobija,Cobija,Pando,lowland,2.1693781823373122e-05,7.0,-10.738484890399995
2018-09-16,cobija,Cobija,Pando,lowland,1.8286599042465627e-05,3.0,-10.909342059135653
2018-09-23,cobija,Cobija,Pando,lowland,1.5596056274213714e-05,3.0,-11.068492478603849
2018-09-30,cobija,Cobija,Pando,lowland,1.7467337782573953e-05,5.0,-10.955177833377071
2018-10-07,cobija,Cobija,Pando,lowland,1.611709432341692e-05,4.0,-11.035630090023066
2018-10-14,cobija,Cobija,Pando,lowland,,2.0,
2018-10-21,cobija,Cobija,Pando,lowland,1.1105571846012591e-05,3.0,-11.40806360748059
2018-10-28,cobija,Cobija,Pando,lowland,6.032069654183882e-06,4.0,-12.018420379881013
2018-11-04,cobija,Cobija,Pando,lowland,,2.0,
2018-11-11,cobija,Cobija,Pando,lowland,,1.0,
2018-11-18,cobija,Cobija,Pando,lowland,,2.0,
2018-11-25,cobija,Cobija,Pando,lowland,,2.0,
2018-12-02,cobija,Cobija,Pando,lowland,,1.0,
2018-12-09,cobija,Cobija,Pando,lowland,,1.0,
2018-12-16,cobija,Cobija,Pando,lowland,5.7654118685114895e-06,4.0,-12.063633963861701
2018-12-23,cobija,Cobija,Pando,lowland,4.452873845330145e-06,3.0,-12.321960862290975
2018-12-30,cobija,Cobija,Pando,lowland,6.241981194260229e-06,5.0,-11.98421292689494
2019-01-06,cobija,Cobija,Pando,lowland,8.922207963852472e-06,3.0,-11.626967112422875
2019-01-13,cobija,Cobija,Pando,lowland,,2.0,
2019-01-20,cobija,Cobija,Pando,lowland,,2.0,
2019-01-27,cobija,Cobija,Pando,lowland,9.216732609599389e-06,6.0,-11.594489963941058
2019-02-03,cobija,Cobija,Pando,lowland,4.968593979848167e-06,3.0,-12.212373659318898
2019-02-10,cobija,Cobija,Pando,lowland,7.798619142309757e-06,3.0,-11.761563872978137
2019-02-17,cobija,Cobija,Pando,lowland,,1.0,
2019-02-24,cobija,Cobija,Pando,lowland,,2.0,
2019-03-03,cobija,Cobija,Pando,lowland,,1.0,
2019-03-10,cobija,Cobija,Pando,lowland,8.529556539037793e-06,5.0,-11.671973186201603
2019-03-17,cobija,Cobija,Pando,lowland,1.129929782906779e-05,4.0,-11.390769973197237
2019-03-24,cobija,Cobija,Pando,lowland,,2.0,
2019-03-31,cobija,Cobija,Pando,lowland,,1.0,
2019-04-07,cobija,Cobija,Pando,lowland,,2.0,
2019-04-14,cobija,Cobija,Pando,lowland,6.953167008884985e-06,4.0,-11.876313317448679
2019-04-21,cobija,Cobija,Pando,lowland,2.976838024914814e-06,3.0,-12.724648886240269
2019-04-28,cobija,Cobija,Pando,lowland,3.900717590491851e-06,4.0,-12.454350024192136
2019-05-05,cobija,Cobija,Pando,lowland,8.52479383322068e-06,4.0,-11.672531718873557
2019-05-12,cobija,Cobija,Pando,lowland,4.19124293434256e-06,5.0,-12.382513224978892
2019-05-19,cobija,Cobija,Pando,lowland,2.455161224209946e-06,5.0,-12.917318127098142
2019-05-26,cobija,Cobija,Pando,lowland,3.7925666271360353e-06,4.0,-12.482467557747247
2019-06-02,cobija,Cobija,Pando,lowland,8.712170657859388e-06,3.0,-11.650789583698637
2019-06-09,cobija,Cobija,Pando,lowland,8.724995722838237e-06,5.0,-11.649318580095017
2019-06-16,cobija,Cobija,Pando,lowland,6.922411435378222e-06,5.0,-11.88074637571687
2019-06-23,cobija,Cobija,Pando,lowland,4.255898196325964e-06,6.0,-12.367204726247213
2019-06-30,cobija,Cobija,Pando,lowland,5.359596281625304e-06,5.0,-12.136621906310596
2019-07-07,cobija,Cobija,Pando,lowland,4.630785700624366e-06,5.0,-12.282784006504125
2019-07-14,cobija,Cobija,Pando,lowland,1.2726095412768257e-05,5.0,-11.271855915714527
2019-07-21,cobija,Cobija,Pando,lowland,8.261231423298452e-06,5.0,-11.703936898819329
2019-07-28,cobija,Cobija,Pando,lowland,7.677052063551513e-06,4.0,-11.777274930384115
2019-08-04,cobija,Cobija,Pando,lowland,1.5743001104776635e-05,6.0,-11.059114665756047
2019-08-11,cobija,Cobija,Pando,lowland,2.1273000874517734e-05,4.0,-10.758071853865024
2019-08-18,cobija,Cobija,Pando,lowland,2.1280517943947737e-05,5.0,-10.757718554315803
2019-08-25,cobija,Cobija,Pando,lowland,2.243425154598355e-05,4.0,-10.70492168009199
2019-09-01,cobija,Cobija,Pando,lowland,1.53548283212528e-05,4.0,-11.084080584775295
2019-09-08,cobija,Cobija,Pando,lowland,2.262674474727901e-05,6.0,-10.696377955449728
2019-09-15,cobija,Cobija,Pando,lowland,1.9457107873590855e-05,4.0,-10.847298111285705
